# reporter: v22 (2026-09-25); filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 11; mixed_x13: False; include_provenance: False; worst_other_core_busy: 62.5% (pcrec_25b1984f_auto-caps-simdna / wild-validator-ipv4-owasp / large-subject-throughput); floor_pattern: floor-byte; null_band: pcrec 25b1984f -> 8d716693: census reports/identity/capability@0.1/pcrec_25b1984f__8d716693.tsv, 143 null of 492 cells, strata ok=2 insufficient=2 empty=2, n_min=10
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	ratio_vs_baseline	1.045863	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	ratio_vs_best	1.045863	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	median_ns	5508887.826087	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	min_ns	5494534.043478	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	max_ns	5519113.956522	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	stddev_ns	9322.415122	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_baseline	1.050820	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_best	1.050820	3	1.0000	0	0		
baseline_yes	balanced-parens-rec	(set)	short-subject-search			pcrec_8d716693_auto-caps-simdna				baseline_identity	row-best-fallback					pcrec_8d716693_auto-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	median_ns	986.186620	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	min_ns	981.171870	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	max_ns	987.994605	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	stddev_ns	2.385355	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	75	1.0000	0	0		faster ×6.73
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	median_ns	986.765608	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	min_ns	982.100686	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	max_ns	988.677881	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	stddev_ns	2.411890	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.000587	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	ratio_vs_best	1.000587	75	1.0000	0	0		faster ×6.66
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	median_ns	1052.918816	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	min_ns	1051.583562	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	max_ns	1053.949789	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	stddev_ns	0.998192	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.067667	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	ratio_vs_best	1.067667	75	1.0000	0	0		faster ×6.36
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	6567.764581	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	min_ns	6544.564668	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	max_ns	6634.312624	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	stddev_ns	31.631950	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	ratio_vs_baseline	6.659758	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	ratio_vs_best	6.659758	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	median_ns	6639.556725	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	min_ns	6567.494457	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	max_ns	6655.569090	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	stddev_ns	38.171565	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	ratio_vs_baseline	6.732556	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	ratio_vs_best	6.732556	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	median_ns	6692.744759	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	min_ns	6435.239789	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	max_ns	6700.278084	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	stddev_ns	102.771372	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_baseline	6.786489	75	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_best	6.786489	75	1.0000	0	0		
baseline_yes	base10num-near-miss	(set)	large-subject-throughput			pcrec_8d716693_auto-caps-simdna				baseline_identity	row-best-fallback					pcrec_8d716693_auto-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	median_ns	16.021662	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	min_ns	15.964416	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	max_ns	16.047394	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	stddev_ns	0.029168	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		faster ×1.06
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	median_ns	16.940612	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	min_ns	16.893523	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	max_ns	16.960051	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	stddev_ns	0.022890	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.057357	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	ratio_vs_best	1.057357	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	median_ns	35.179612	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	min_ns	34.955162	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	max_ns	35.239588	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	stddev_ns	0.100875	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	ratio_vs_baseline	2.195753	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	3	ratio_vs_best	2.195753	3	1.0000	0	0		faster ×115610.56
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	median_ns	40.688514	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	min_ns	40.540483	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	max_ns	40.805743	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	stddev_ns	0.101770	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	ratio_vs_baseline	2.539594	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	4	ratio_vs_best	2.539594	3	1.0000	0	0		faster ×99948.26
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	median_ns	97.011549	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	min_ns	96.912445	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	max_ns	98.334979	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	stddev_ns	0.543444	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	ratio_vs_baseline	6.055024	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	oniguruma_6.9.10_default-caps-simdna	measured	pinned	5	ratio_vs_best	6.055024	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	median_ns	4066746.138462	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	min_ns	4064639.661538	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	max_ns	4067280.907692	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	stddev_ns	1052.420153	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_baseline	253827.979263	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	6	ratio_vs_best	253827.979263	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	median_ns	4067134.507692	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	min_ns	4065220.661538	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	max_ns	4083106.307692	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	stddev_ns	6728.474900	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	ratio_vs_baseline	253852.219521	3	1.0000	0	0		
rank_yes	base10num-near-miss	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	7	ratio_vs_best	253852.219521	3	1.0000	0	0		
baseline_yes	base10num-near-miss	(set)	short-subject-search			pcrec_8d716693_auto-caps-simdna				baseline_identity	row-best-fallback					pcrec_8d716693_auto-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	median_ns	545.636742	75	1.0000	0	0		unchanged (within spread)
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	min_ns	535.178655	75	1.0000	0	0		unchanged (within spread)
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	max_ns	555.280909	75	1.0000	0	0		unchanged (within spread)
rank_yes	base10num-near-miss	(set)	short-subject-search	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	stddev_ns	7.841749	75	1.0000	0	0		unchanged (within spread)
