# reporter: v24 (2026-09-26); filters: subbench=email-specimen, version=0.1; source: store/index.tsv (14 record(s) matching this query); records: 9; excluded_invalid: 0; superseded: 5; newer_not_measured: 0; subbench_versions: email-specimen@0.1; machines: budu-ryzen1600; schema_versions: 1.1,1.2; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.1-1.3 X13 (both samples quiet) on 9; mixed_x13: False; include_provenance: False; worst_other_core_busy: n/a; floor_pattern: none; null_band: set grain only (not computed at subject grain)
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	139.297983	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	175.574442	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	4	median_ns	208.400157	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	392.505743	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	520.603374	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	7	median_ns	551.682707	5	1.0000	0	0			no
rank	factored	s-001	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	8	median_ns	563.748586	5	1.0000	0	0			yes
rank	factored	s-001	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	1215.137224	5	1.0000	0	0			yes
baseline	factored	s-002	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	46.314267	5	1.0000	0	0			no
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	67.041195	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	102.950519	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	278.957654	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	430.113249	5	1.0000	0	0			no
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	431.282053	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	452.328856	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	8	median_ns	750.808773	5	1.0000	0	0			yes
rank	factored	s-002	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	753.364883	5	1.0000	0	0			yes
baseline	factored	s-002	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-002	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	38.722530	5	1.0000	0	0			no
rank	factored	s-002	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	42.199901	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	106.516548	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	median_ns	120.993087	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	269.679231	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	349.991507	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	375.709500	5	1.0000	0	0			yes
rank	factored	s-002	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	8	median_ns	390.197962	5	1.0000	0	0			no
rank	factored	s-002	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	755.068141	5	1.0000	0	0			yes
baseline	factored	s-003	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	157.218783	5	1.0000	0	0			no
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	176.527223	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	215.756426	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	428.788680	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	590.808859	5	1.0000	0	0			no
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	6	median_ns	652.493654	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	7	median_ns	660.580723	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	8	median_ns	1314.226501	5	1.0000	0	0			yes
rank	factored	s-003	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	9	median_ns	1324.634438	5	1.0000	0	0			yes
baseline	factored	s-003	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-003	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	148.282679	5	1.0000	0	0			no
rank	factored	s-003	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	151.646539	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	185.102723	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	4	median_ns	218.994650	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	411.591705	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	6	median_ns	566.948680	5	1.0000	0	0			no
rank	factored	s-003	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	7	median_ns	581.711859	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	8	median_ns	626.426309	5	1.0000	0	0			yes
rank	factored	s-003	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	1317.588022	5	1.0000	0	0			yes
baseline	factored	s-004	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	1	median_ns	167.282691	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	median_ns	222.151962	5	1.0000	0	0			no
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	3	median_ns	241.901476	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	375.501110	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	529.889808	5	1.0000	0	0			no
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	572.336392	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	611.830333	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	8	median_ns	883.296718	5	1.0000	0	0			yes
rank	factored	s-004	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	9	median_ns	886.957163	5	1.0000	0	0			yes
baseline	factored	s-004	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-004	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	1	median_ns	167.309412	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	2	median_ns	171.932337	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	3	median_ns	214.158081	5	1.0000	0	0			no
rank	factored	s-004	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	4	median_ns	217.033767	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	365.719059	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	508.544805	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	7	median_ns	511.853904	5	1.0000	0	0			no
rank	factored	s-004	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	8	median_ns	544.293163	5	1.0000	0	0			yes
rank	factored	s-004	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	882.864025	5	1.0000	0	0			yes
baseline	factored	s-005	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	45.973357	5	1.0000	0	0			no
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	66.718176	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	102.787196	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	299.008364	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	429.152836	5	1.0000	0	0			no
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	6	median_ns	451.324398	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	7	median_ns	453.851754	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	8	median_ns	749.701913	5	1.0000	0	0			yes
rank	factored	s-005	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	751.450485	5	1.0000	0	0			yes
baseline	factored	s-005	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-005	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	38.907266	5	1.0000	0	0			no
rank	factored	s-005	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	42.109560	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	106.747889	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	median_ns	121.486589	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	298.385266	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	384.571553	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	398.358392	5	1.0000	0	0			yes
rank	factored	s-005	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	8	median_ns	413.489724	5	1.0000	0	0			no
rank	factored	s-005	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	751.993424	5	1.0000	0	0			yes
baseline	factored	s-006	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	103.831430	5	1.0000	0	0			no
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	123.988792	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	221.440213	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	442.699973	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	610.364665	5	1.0000	0	0			no
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	643.702964	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	680.983587	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	8	median_ns	1340.809120	5	1.0000	0	0			yes
rank	factored	s-006	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	9	median_ns	1355.979561	5	1.0000	0	0			yes
baseline	factored	s-006	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-006	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	96.608729	5	1.0000	0	0			no
rank	factored	s-006	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	99.929696	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	3	median_ns	165.490209	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	4	median_ns	227.711469	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	440.481459	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	603.452817	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	7	median_ns	618.010373	5	1.0000	0	0			no
rank	factored	s-006	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	8	median_ns	670.998817	5	1.0000	0	0			yes
rank	factored	s-006	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	1342.550098	5	1.0000	0	0			yes
baseline	factored	s-007	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	1	median_ns	167.966203	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	2	median_ns	169.616265	5	1.0000	0	0			no
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_auto-caps-simdna	measured	pinned	3	median_ns	189.972103	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_692c2e8_vm-caps-simdna	measured	pinned	4	median_ns	387.935731	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	5	median_ns	517.389214	5	1.0000	0	0			no
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_8da6120_vm-caps-simdna	measured	pinned	6	median_ns	582.483631	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	whole-subject	separate artifact	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	609.117296	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	8	median_ns	971.465422	5	1.0000	0	0			yes
rank	factored	s-007	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	973.027788	5	1.0000	0	0			yes
baseline	factored	s-007	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	factored	s-007	short-subject-search	plain	same program	pcrec_692c2e8_auto-nocaps-simdna	measured	pinned	1	median_ns	162.351471	5	1.0000	0	0			no
rank	factored	s-007	short-subject-search	plain	same program	pcrec_692c2e8_auto-caps-simdna	measured	pinned	2	median_ns	165.431606	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	pcrec_692c2e8_vm-in-caps-simdna	measured	pinned	3	median_ns	172.796743	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	4	median_ns	173.475469	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	pcrec_692c2e8_vm-caps-simdna	measured	pinned	5	median_ns	383.395731	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	pcrec_8da6120_auto-nocaps-simdna	measured	pinned	6	median_ns	512.090226	5	1.0000	0	0			no
rank	factored	s-007	short-subject-search	plain	same program	pcrec_8da6120_auto-caps-simdna	measured	pinned	7	median_ns	567.165021	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	pcrec_8da6120_vm-caps-simdna	measured	pinned	8	median_ns	576.254801	5	1.0000	0	0			yes
rank	factored	s-007	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	9	median_ns	970.999764	5	1.0000	0	0			yes
baseline	factored	s-008	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
