# reporter: v24 (2026-09-26); filters: subbench=syntax, version=0.1, until=2026-09-21T14:30:16Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 64.93% (pcrec_25b1984f_vm-caps-simdna / esc-tab / large-subject-throughput); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
rank	alt-nested	f-abba	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	5.903493	5	1.0000	0	0			yes
rank	alt-nested	f-abba	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	6.497296	5	1.0000	0	0			yes
rank	alt-nested	f-abba	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	10.479236	5	1.0000	0	0			no
rank	alt-nested	f-abba	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	median_ns	10.568982	5	1.0000	0	0			yes
rank	alt-nested	f-abba	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	28.947264	5	1.0000	0	0			yes
rank	alt-nested	f-abba	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.292534	5	1.0000	0	0			yes
baseline	alt-nested	f-abba	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-abba	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	7.498229	5	1.0000	0	0			yes
rank	alt-nested	f-abba	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	median_ns	7.814033	5	1.0000	0	0			no
rank	alt-nested	f-abba	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	7.905363	5	1.0000	0	0			yes
rank	alt-nested	f-abba	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	8.565132	5	1.0000	0	0			yes
rank	alt-nested	f-abba	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	21.082311	5	1.0000	0	0			no
rank	alt-nested	f-abba	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	33.362823	5	1.0000	0	0			yes
rank	alt-nested	f-abba	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.341260	5	1.0000	0	0			yes
baseline	alt-nested	f-abc	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-abc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	5.934106	5	1.0000	0	0			yes
rank	alt-nested	f-abc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	6.563835	5	1.0000	0	0			yes
rank	alt-nested	f-abc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	3	median_ns	10.555353	5	1.0000	0	0			no
rank	alt-nested	f-abc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	10.613441	5	1.0000	0	0			yes
rank	alt-nested	f-abc	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	22.512248	5	1.0000	0	0			no
rank	alt-nested	f-abc	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	28.995610	5	1.0000	0	0			yes
rank	alt-nested	f-abc	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.415097	5	1.0000	0	0			yes
baseline	alt-nested	f-abc	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-abc	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	7.570397	5	1.0000	0	0			yes
rank	alt-nested	f-abc	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	8.694668	5	1.0000	0	0			yes
rank	alt-nested	f-abc	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	9.744392	5	1.0000	0	0			yes
rank	alt-nested	f-abc	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	9.825014	5	1.0000	0	0			no
rank	alt-nested	f-abc	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	18.882216	5	1.0000	0	0			no
rank	alt-nested	f-abc	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	32.175773	5	1.0000	0	0			yes
rank	alt-nested	f-abc	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	35.960579	5	1.0000	0	0			yes
baseline	alt-nested	f-ac	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-ac	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.620804	5	1.0000	0	0			no
rank	alt-nested	f-ac	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	5.905976	5	1.0000	0	0			yes
rank	alt-nested	f-ac	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	6.496263	5	1.0000	0	0			yes
rank	alt-nested	f-ac	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	10.490502	5	1.0000	0	0			no
rank	alt-nested	f-ac	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	median_ns	10.605904	5	1.0000	0	0			yes
rank	alt-nested	f-ac	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	6	median_ns	29.225803	5	1.0000	0	0			yes
rank	alt-nested	f-ac	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	7	median_ns	29.483369	5	1.0000	0	0			yes
baseline	alt-nested	f-ac	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-ac	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.635157	5	1.0000	0	0			no
rank	alt-nested	f-ac	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	6.500206	5	1.0000	0	0			yes
rank	alt-nested	f-ac	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	7.188880	5	1.0000	0	0			yes
rank	alt-nested	f-ac	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	9.275605	5	1.0000	0	0			yes
rank	alt-nested	f-ac	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	5	median_ns	9.347412	5	1.0000	0	0			no
rank	alt-nested	f-ac	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	32.483948	5	1.0000	0	0			yes
rank	alt-nested	f-ac	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.282162	5	1.0000	0	0			yes
baseline	alt-nested	f-bell	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-bell	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.658732	5	1.0000	0	0			no
rank	alt-nested	f-bell	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	5.920086	5	1.0000	0	0			yes
rank	alt-nested	f-bell	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	6.530710	5	1.0000	0	0			yes
rank	alt-nested	f-bell	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	10.640800	5	1.0000	0	0			yes
rank	alt-nested	f-bell	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	5	median_ns	10.663482	5	1.0000	0	0			no
rank	alt-nested	f-bell	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	6	median_ns	29.292907	5	1.0000	0	0			yes
rank	alt-nested	f-bell	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	7	median_ns	29.799189	5	1.0000	0	0			yes
baseline	alt-nested	f-bell	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-bell	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	1	median_ns	11.359495	5	1.0000	0	0			no
rank	alt-nested	f-bell	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	median_ns	11.742444	5	1.0000	0	0			yes
rank	alt-nested	f-bell	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	12.405620	5	1.0000	0	0			yes
rank	alt-nested	f-bell	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	4	median_ns	12.773747	5	1.0000	0	0			yes
rank	alt-nested	f-bell	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	25.713184	5	1.0000	0	0			no
rank	alt-nested	f-bell	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	34.497059	5	1.0000	0	0			yes
rank	alt-nested	f-bell	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.339041	5	1.0000	0	0			yes
baseline	alt-nested	f-cafe	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cafe	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.614925	5	1.0000	0	0			no
rank	alt-nested	f-cafe	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	6.495510	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	3	median_ns	6.496981	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	11.734471	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	5	median_ns	11.780021	5	1.0000	0	0			no
rank	alt-nested	f-cafe	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	154.711355	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	155.298989	5	1.0000	0	0			yes
baseline	alt-nested	f-cafe	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cafe	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	8.032905	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	median_ns	10.357528	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	10.366049	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	10.490661	5	1.0000	0	0			no
rank	alt-nested	f-cafe	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	21.002030	5	1.0000	0	0			no
rank	alt-nested	f-cafe	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	6	median_ns	45.383094	5	1.0000	0	0			yes
rank	alt-nested	f-cafe	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	7	median_ns	165.353424	5	1.0000	0	0			yes
baseline	alt-nested	f-cat	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	9.164905	5	1.0000	0	0			yes
rank	alt-nested	f-cat	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	10.207794	5	1.0000	0	0			yes
rank	alt-nested	f-cat	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	13.819656	5	1.0000	0	0			yes
rank	alt-nested	f-cat	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	13.891371	5	1.0000	0	0			no
rank	alt-nested	f-cat	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	124.639163	5	1.0000	0	0			no
rank	alt-nested	f-cat	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	6	median_ns	175.361606	5	1.0000	0	0			yes
rank	alt-nested	f-cat	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	7	median_ns	177.736214	5	1.0000	0	0			yes
baseline	alt-nested	f-cat	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	1	median_ns	10.394996	5	1.0000	0	0			yes
rank	alt-nested	f-cat	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	11.538032	5	1.0000	0	0			yes
rank	alt-nested	f-cat	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	17.938794	5	1.0000	0	0			yes
rank	alt-nested	f-cat	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	18.410483	5	1.0000	0	0			no
rank	alt-nested	f-cat	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	5	median_ns	49.007334	5	1.0000	0	0			yes
rank	alt-nested	f-cat	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	6	median_ns	99.612434	5	1.0000	0	0			no
rank	alt-nested	f-cat	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	7	median_ns	177.611135	5	1.0000	0	0			yes
baseline	alt-nested	f-cat-mixed	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat-mixed	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	5.905278	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	6.508350	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	3	median_ns	10.501687	5	1.0000	0	0			no
rank	alt-nested	f-cat-mixed	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	10.726378	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	22.501647	5	1.0000	0	0			no
rank	alt-nested	f-cat-mixed	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	28.933716	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.282281	5	1.0000	0	0			yes
baseline	alt-nested	f-cat-mixed	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	6.789670	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	median_ns	7.802802	5	1.0000	0	0			no
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	7.902318	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	7.971069	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	18.841601	5	1.0000	0	0			no
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	33.377825	5	1.0000	0	0			yes
rank	alt-nested	f-cat-mixed	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.229830	5	1.0000	0	0			yes
baseline	alt-nested	f-cat-uc	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat-uc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	5.907641	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	2	median_ns	6.498692	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	3	median_ns	10.494366	5	1.0000	0	0			no
rank	alt-nested	f-cat-uc	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	4	median_ns	10.578957	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	22.508886	5	1.0000	0	0			no
rank	alt-nested	f-cat-uc	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	28.950460	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.283808	5	1.0000	0	0			yes
baseline	alt-nested	f-cat-uc	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	6.794472	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	2	median_ns	7.803238	5	1.0000	0	0			no
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	3	median_ns	7.872485	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	7.974374	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	18.866307	5	1.0000	0	0			no
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	33.360097	5	1.0000	0	0			yes
rank	alt-nested	f-cat-uc	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.356736	5	1.0000	0	0			yes
baseline	alt-nested	f-concat	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-concat	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.634655	5	1.0000	0	0			no
