id	len	sha256	description	periodic
l-s4095-mid	235	303c74a78f5e4c009fc72d5ef0b47215e802163aeddbdca33d5741a8067c69a9	line/carry-mid `short` word 4095 at byte 112 of 235	no
l-sh1-mid	227	0ea855cc95bb6963805fc90c769279642388421e930cfd629299c60e244f9880	line/carry-mid `sh1` word 3 at byte 98 of 227	no
l-pfx3-mid	228	fed668e2552579f809a7bba2458f0b39717b0ff3f830ead87dc9d6b3401b174a	line/carry-mid `pfx3` word 3 at byte 114 of 228	no
l-sfx-mid	226	5741e1be4e91de7089a55768718777a4399defa0129ade7a0bc5f7a88641d67e	line/carry-mid `sfx` word 3 at byte 110 of 226	no
l-nar4-mid	234	5e8859d06b0889f6c7e6c32ed5e449c0f5b5eb87a4d07a019bf3efee694335e9	line/carry-mid `nar4` word 3 at byte 114 of 234	no
l-upper	228	1bddadfd7299767c08f09bfb9d0d4abb458d644e1622ddf467556292f45d8ab1	line/carry-derived an upper-cased `main` word 0: a hit for ci-512 and for nothing else in the set	no
l-glued	226	34c2a4deb5763530bf545584d9491e047a26a381e9e5aca9e5c251db4e505709	line/carry-derived `main` word 0 buried in a longer letter run: a hit for every plain rung, a MISS for wb-512	no
l-cnt2	225	bc8ab6b8ed56c8e46566f0a4b2c975e7742b2ba01654e54efbe9dfba0bd02e09	line/carry-derived `main` words 0 + 1 adjacent: cnt-64 takes both in one match, every plain rung takes the first	no
l-bg-0	235	343b2edc0137560fee0e6193953a84436c8a7bac3a340c5bd38cdf0e68e0e64f	line/background prose in no pool: the failing majority the search band is built from	no
l-bg-1	226	e58ece2fd35714bb35a52e04f378ea45eb2400830b5a79a90b2391abdaa7d2a6	line/background prose in no pool: the failing majority the search band is built from	no
l-bg-2	244	869c68087c819eabf5f42c5c66f9bb1b5fcb7b312eb1e34c8d56f9f5c3f6392a	line/background prose in no pool: the failing majority the search band is built from	no
l-bg-3	219	6550ec4f472c36240deeaf52859f4c035c5b5953f881a343972ba9a5c494b515	line/background prose in no pool: the failing majority the search band is built from	no
l-bg-4	241	34d215318014e21583246291bca0291bffd1de6c71adfa9deb8fbb79f66767e6	line/background prose in no pool: the failing majority the search band is built from	no
l-bg-5	228	891b06779d89dc62b79c312b51534ae60178060808699670080b6cf8b3318f4f	line/background prose in no pool: the failing majority the search band is built from	no
f-s255	4	15b47fb12dd18430c6536a7786e27bb273957fd516c18bb7f034e9ff48da826d	field/hit `short` word 255: the LAST branch of s-256 and a branch of every wider short rung -- the branch-length pair's anchored index point against `main` word 255	no
l-s255-mid	234	09201f633c1e1f9ee10cc47e7e20b80b0f8d0c26d59ca64384206bc25d587c9e	line/carry-mid `short` word 255 at byte 122 of 234: the short pool's only prose carrier inside 2048, and the search band's half of the branch-length pair	no
