pattern_id	family	provenance_source	source_url	source_ref	license	license_note	retrieved	fidelity	adaptation	attribution	twin_of	isolates
wild-datetime-moment-iso8601	wild-datetime	moment-js	https://raw.githubusercontent.com/moment/moment/develop/src/lib/create/from-string.js	src/lib/create/from-string.js:12 (extendedIsoRegex)	MIT	NEW SLUG -- 'moment-js' is not in section 4.1's pre-registered source_name enum (owasp-validation/grok/crs/rebar-wild/pcre2-testdata/rust-regex-testdata/oniguruma-test/re2-bench/vscode-json-grammar/cve/authored); moment.js was not on N1's shortlist and this second wild-datetime member needed a genuine second wild source (rebar's date.txt supplies only one). Using 'authored' here would be wrong -- the text is verbatim-imported, not ours. Flagged for L3/Frank to register the slug rather than silently overload 'authored'.	2026-09-16	verbatim				
codegrammar-flat	wild-codegrammar	authored			n-a		2026-09-16	synthesized	the family's own designed-member spec verbatim: "one flattened (?x) twin" (capability_set_v1.md §3.1 family 6)		codegrammar-xflag	the (?x) free-spacing MECHANISM's own cost (compile and match) and which engines cannot run the multi-line form at all (TRE has no inline-flag syntax per N2 §3) -- both forms match the identical language once whitespace and comments are stripped, so any measured difference is the mechanism, not the logic
codegrammar-xflag	wild-codegrammar	authored			n-a		2026-09-16	synthesized	modeled on VS Code's JSON.tmLanguage.json free-spacing token patterns, the family's cited wild source (capability_set_v1.md §3.1 family 6); a small per-token editor-grammar shape (an object key followed by its colon), the family's own stress-mechanism text			
wild-codegrammar-json-array-begin	wild-codegrammar	vscode-json-grammar	https://raw.githubusercontent.com/microsoft/vscode/main/extensions/json/syntaxes/JSON.tmLanguage.json	repository.array.begin	MIT		2026-09-16	verbatim				
wild-codegrammar-json-constant	wild-codegrammar	vscode-json-grammar	https://raw.githubusercontent.com/microsoft/vscode/main/extensions/json/syntaxes/JSON.tmLanguage.json	repository.constant.match	MIT		2026-09-16	verbatim				
wild-codegrammar-json-number-extended	wild-codegrammar	vscode-json-grammar	https://raw.githubusercontent.com/microsoft/vscode/main/extensions/json/syntaxes/JSON.tmLanguage.json	repository.number.match	MIT		2026-09-16	verbatim				
wild-codegrammar-json-object-begin	wild-codegrammar	vscode-json-grammar	https://raw.githubusercontent.com/microsoft/vscode/main/extensions/json/syntaxes/JSON.tmLanguage.json	repository.object.begin	MIT		2026-09-16	verbatim				
wild-codegrammar-json-stringcontent-escape	wild-codegrammar	vscode-json-grammar	https://raw.githubusercontent.com/microsoft/vscode/main/extensions/json/syntaxes/JSON.tmLanguage.json	repository.stringcontent.patterns[0].match	MIT		2026-09-16	verbatim				
doubled-word	cap-backref	authored			n-a		2026-09-16	synthesized	modeled on the doubled-word idiom used by real prose linters (e.g. Vale, proselint-style checks), a standard backreference use in deployed tooling			
dup-param-detect	cap-backref	authored			n-a		2026-09-16	synthesized	modeled on HTTP Parameter Pollution defensive checks (a documented web-security testing/WAF technique: flag a query string that repeats the same key), a real deployed security idiom			
phone-palindrome-6	cap-backref	authored			n-a		2026-09-16	synthesized	modeled on vanity/palindrome phone-number finder tools -- a documented real service class: businesses market and search listings for memorable palindrome phone numbers			
quoted-delim-match	cap-backref	authored			n-a		2026-09-16	synthesized	modeled on quoted-string tokenizing (matching single- or double-quoted strings where the closing delimiter must equal the opening one), a ubiquitous lexer/tokenizer idiom			
tag-pair-match	cap-backref	authored			n-a		2026-09-16	synthesized	modeled on open/close tag matching in simple HTML/template sanitizers and linters, a very common deployed backreference idiom			
currency-lookbehind-fixed	cap-lookaround	authored			n-a		2026-09-16	synthesized	modeled on invoice/financial-text extraction tools that pull a dollar amount only when immediately preceded by the currency symbol, a fixed-width lookbehind (one character) in real deployed use			
email-local-nodup	cap-lookaround	authored			n-a		2026-09-16	synthesized	modeled on RFC 5321 §4.1.2's prohibition on consecutive dots in an email local-part, a check real email validators implement with a negative lookahead			
float-literal-bound	cap-lookaround	authored			n-a		2026-09-16	synthesized	modeled on standalone-numeric-literal boundary detection in code formatters/linters (a real need: extracting a float literal without also matching inside a longer dotted/versioned token)			
negation-scope-lookbehind-var	cap-lookaround	authored			n-a		2026-09-16	synthesized	modeled on sentiment/content-moderation tooling that must not flag a word when a short negation phrase ("not ... available") precedes it within a few words -- a documented technique, and a known engine-capability line since it needs a variable-width lookbehind			
pwd-strength-chain	cap-lookaround	authored			n-a		2026-09-16	synthesized	the single most widely deployed chained-lookahead idiom on the public web: password-strength validators requiring lowercase, uppercase, digit and symbol			
balanced-parens-rec	cap-recursion	authored			n-a		2026-09-16	synthesized	modeled on balanced-parenthesis validation in formula/config-expression validators, the best-known real deployed use of PCRE-style whole-pattern recursion (?R)			
bracket-array-define	cap-recursion	authored			n-a		2026-09-16	synthesized	modeled on the (?(DEFINE)...) named-subroutine idiom used for readability in real, deployed complex validators (bracket/array balance via a named recursive group rather than bare (?R)), a documented production technique			
nested-comment-rec	cap-recursion	authored			n-a		2026-09-16	synthesized	modeled on nested block-comment matching in languages that permit it (Rust's /* /* */ */ nesting is the clearest real case), a genuine syntax-highlighter/linter need for subroutine-call recursion (?1)			
tag-depth3-bound	cap-recursion	authored			n-a		2026-09-16	synthesized	modeled on security-conscious HTML/XML sanitizers that deliberately bound nesting depth (here, 3 levels) explicitly rather than use unbounded (?R)/(?1) recursion, a documented defensive practice against unbounded-recursion DoS/stack exhaustion			
date-nested-plus	redos-nested	authored			n-a		2026-09-16	synthesized	modeled on the date-parsing ReDoS class documented in moment.js's CVE-2017-18214 and CVE-2022-31129 advisories (ambiguous nested optional-group repetition over a delimited numeric token)			
email-nested-plus	redos-nested	authored			n-a		2026-09-16	synthesized	modeled on a documented ReDoS advisory in Kubeflow's email-validation regex, which used exactly this nested-quantifier shape ((charclass+)+@) over the local-part before the @			
evil-alt-nested	redos-nested	authored			n-a		2026-09-16	synthesized	the canonical "evil regex" cited throughout the public ReDoS literature (e.g. OWASP's ReDoS material): nested repetition over an inner alternation/group with no distinguishing anchor between iterations			
numeric-id-nested-plus	redos-nested	authored			n-a		2026-09-16	synthesized	modeled on the numeric-ID validator ReDoS shape catalogued in engn33r/awesome-redos-security (the family's own cited CVE index, capability_set_v1.md §3.1 family 10) -- a nested + over a +-quantified digit class			
phone-list-nested-plus	redos-nested	authored			n-a		2026-09-16	synthesized	modeled on phone-number/number-list validator ReDoS reports catalogued in the same awesome-redos-security CVE index			
trim-nested-star	redos-nested	authored			n-a		2026-09-16	synthesized	modeled on CVE-2022-25927 (ua-parser-js): a trim()-style trailing-whitespace regex vulnerable to catastrophic backtracking via a redundant nested quantifier over \s			
file-ext-order	semantics-divergence	authored			n-a		2026-09-16	synthesized	modeled on a documented real bug class in build-tool file-extension matchers: listing .tar before .tar.gz means a leftmost-first engine reports the shorter suffix on "archive.tar.gz"			
keyword-prefix-order	semantics-divergence	authored			n-a		2026-09-16	synthesized	modeled on the classic hand-rolled-lexer keyword/identifier prefix ambiguity (matching the keyword "in" before "instanceof" was a documented real bug class before lexers moved to longest-match tables)			
router-prefix-order	semantics-divergence	authored			n-a		2026-09-16	synthesized	modeled on a documented real bug class in hand-rolled URL routers: a route table ordered /user before /users matches the shorter route first under leftmost-first semantics even when the longer route is the intended match on "/users"			
wild-semdiv-altorder-foo-foobar-rustregex	semantics-divergence	rust-regex-testdata	https://raw.githubusercontent.com/rust-lang/regex/master/testdata/leftmost-all.toml	testdata/leftmost-all.toml, test "alt" (regex/haystack/matches/match-kind lines)	MIT	closes Appendix A's family-11 rust-regex 'OWED for specific cases' line -- L1's fetch was a directory listing only. This quotes testdata/leftmost-all.toml (testdata/ root), not the fowler/ subdirectory by name: this session also fetched fowler/basic.toml and fowler/nullsubexpr.toml and found real alternation-order patterns there (e.g. "ab|a") but none demonstrably diverges in the regenerated TOML's own recorded answer -- the regenerated Fowler files carry only the crate's resolved leftmost-first answer, not a second POSIX-longest answer inline. leftmost-all.toml is rust-regex's own committed, MIT-licensed demonstration that the SAME pattern answers differently under match-kind=leftmost (crate default: span [0,3], "foo") vs match-kind=all (this file's own declared mode: span [0,6], "foobar") -- the actual mechanism family 11 names, on a real file the crate ships and tests against, not synthesized	2026-09-16	verbatim				
wild-semdiv-dollar-trailing-newline-pcre2	semantics-divergence	pcre2-testdata	https://raw.githubusercontent.com/PCRE2Project/pcre2/master/testdata/testinput1	testinput1:1463 (matches "abc" and "abc\n"; "Expect no match" against "abc\ndef", testinput1:1466-1467)	BSD-3-Clause WITH PCRE2-exception	same public-domain-testdata note as wild-semdiv-empty-alt-repeat-pcre2; not repeated in full here	2026-09-16	verbatim				
wild-semdiv-empty-alt-repeat-pcre2	semantics-divergence	pcre2-testdata	https://raw.githubusercontent.com/PCRE2Project/pcre2/master/testdata/testinput1	testinput1:4027 ((a|)*\d against 60 a's + a digit; "Expect no match" against 60 a's alone, testinput1:4029-4030)	BSD-3-Clause WITH PCRE2-exception	PCRE2's own LICENCE.md (fetched) states testdata/ is not copyrighted and is public domain -- a STRONGER status than this row's stated licence, which matches Appendix A's family-11 phrasing rather than upgrading it unilaterally; flagged for L3/Frank	2026-09-16	verbatim				
high-byte-run	binary-nonutf8	authored			n-a		2026-09-16	synthesized	modeled on legacy-encoding / mixed-encoding log-cleanup tools that scan raw bytes for runs of non-ASCII high bytes to flag encoding problems			
mojibake-curly-quote	binary-nonutf8	authored			n-a		2026-09-16	synthesized	modeled on "fix mojibake" / encoding-repair tools that scan raw legacy-Windows-1252 text for curly-quote byte pairs (0x93 ... 0x94) still present after a bad UTF-8 conversion -- a genuinely real, documented class of encoding-repair utility			
utf8-lead-no-cont	binary-nonutf8	authored			n-a		2026-09-16	synthesized	modeled on UTF-8 validators/sanitizers that flag a two-byte lead byte (0xC2-0xDF) not followed by a valid continuation byte -- a real, common malformed-UTF-8 detector shape			
floor-byte	floor	authored			n-a		2026-09-16	synthesized	requirements.md §5's per-call floor-pattern control, in bench/syntax's own idiom (that set uses `#`); this set's subject vocabulary skews log-line/HTTP/source-code/prose (captext.py, per capability_set_v1.md §3.4), where a bare tilde is rare			
