id	len	sha256	description	periodic
f-parens	7	b15f626a1eb193ed7af80f65fae3bdee2f4bd4e71c922fee384f308de43594b8	field/hit `(a(b)c)`: the four recursion shapes' whole-string hit at nesting depth 2	no
f-parens-open	6	70391c72db94b95420682c04fe344261d7e96adcee3d42226cd83de05f7c8844	field/edge `(a(bc)`: unbalanced -- the recursion shapes take `(bc)` under search and nothing whole	no
f-quoted	7	5aa762ae383fbb727af3c7a36d4940a5b8c40a989452d2304fc958ff3f354e7a	field/hit `"hello"`: `".*?"` and `(?U)".+"` whole-string hit	6
f-fx	4	259072e6c653cc56ea0e6a6031c2bbb5dede2c4066d63855fd7690ee8bd61bbc	field/hit `f(x)`: `\Qf(x)\E`'s whole-string hit	no
f-hash	3	2bccaf40951009e4203e2065b2a4bde0e4fd172dc126619b881078ff74754607	field/hit `#42`: the floor's ONLY hit among the fields	no
f-cafe	4	dafd66c0b98965e688be1fc12942c09f0350e6be0685017c3f234e97d0adc92e	field/edge `caf\xe9`: `\p{L}+` and `caf\x{e9}` take it whole; `\w+` and `[[:alpha:]]+` stop at the Latin-1 byte	no
f-bell	8	8298a7d3659d54433f548582fc4fc474bfde73b5031793c218938e4268121d65	field/hit `bell\x07end`: `bell\cGend`'s whole-string hit	no
l-prose	77	55d377f371fb1fd5b405e241fd9e88baaf31de2480411a8d464d9b8f2f01a197	line/prose plain words with `cat`, `dog`, `item done`, no doubled word	no
l-dup	52	8224a144aed33eeb029fa8c82eb8fff28c0896e7358b660708f468202d5b3b0c	line/prose two doubled words (`the the`, `was was`) and `abba`	no
l-order	86	c8058d1243db218de97209dce93c9385bfa232735369cb1e3636491728d93ce1	line/structured an order line: integer, date, time, address, price, hex literal, `#42` (the floor's only line hit)	no
l-tags	75	6a429585b2c36bf725522a77c5c8c8dbd81ee946e844343eb8f0a8d579b6138a	line/structured four tag pairs, one closed by the WRONG tag, then a bare `<item>` (the conditional's yes-branch)	no
l-parens	41	f91461cd8138c40a2e43f1706a5fb5db36faad19ba4bf6eadb294bb38164d381	line/structured balanced expressions to depth 3 and one unbalanced open	no
l-kv	52	12e0d0b1e15c74760332c8451ccb368411e608ec1cbc2c8689a3d42d50fed36a	line/structured key=value in four spellings (`=`, ` = `, `\t=\t`, `= `) and `colour=red`	no
l-multi	23	3e4e94fe365bc2681677f720213b2ea8353177c294686d68a6449ff842cac2d0	line/structured three LF lines, the last `done`, with a final newline	no
l-crlf	26	1885dcf4c604a16c0274d42b4587fd2483af30eed5a37fa6034372d11911dd8c	line/structured the same block with CRLF line ends	no
l-case	36	9b308e3b48e24a68a728bd8fee3a1dfef4f02f9afd5d31a1ee9dc9ced41fdfe2	line/prose the word `cat` in five casings, then `concatenate` and `cats`	no
l-quoted	54	915b5bd9cc0caeed223bbf046126a6ef8b9ccc4d5cae4278148d16856ebbdd6c	line/structured two quoted strings, a single-quoted one, one unterminated	no
l-latin1	28	8170e64d4cb3a57f3ba1202ad371b844f1b3c58d78c1b8cd456b4e220d137fdd	line/prose four Latin-1 words	no
l-run	58	5f7d458fa35997da936f086e523c90bf473a380c275a4b56f788aea6bd63083d	line/structured a 40-byte `a` run then `b`, then the possessive and atomic edge shapes	no
