# testees/pcrec/list_limits.tsv -- pcrec's NUMERIC-LIMITS TABLE at the pin
# (the SIXTH registry surface, pcrec D90 / [LIM-1],
# docs/spec/table_contract.md), archived VERBATIM under a source header --
# the THIRD archive target beside list_axes.tsv / list_definitions.tsv
# (inbox I-25: "ARCHIVE IT beside --list-axes at your re-pin"). Everything
# below this header is the unmodified output of:
#
#     build/pcrec-d34c9131/build/pcrec --list-limits
#
# pcrec commit d34c91311ba27968bf2ff5ebfd9d6bebe5639f2f (abi 23), archived
# 2026-09-06 by the manager ([B39], the eleventh session). 56 data rows / 7
# columns (name, value, unit, kind, override, anchor, desc) -- one row per
# numeric limit in pcrec src/core/limits.def, in the table's own order. The
# diff from the 334fd10e copy (55 rows, [B37]) is ONE NEW ROW and FOUR
# RE-WORDED ONES, exactly as the b39prep lane predicted from the source diff
# (pcrec [LIM-2] N1, "work-budget fallback + generalized raise surface",
# behind 37f5ae02):
#
#   - PCREC_MAX_AUTO_DFA_ELEMS 30000000 (`elements`, `compile budget`,
#     override `-D`, anchor 3.3), inserted after PCREC_MAX_SUBSET_ELEMS: the
#     AUTO route's own DFA-attempt WORK BUDGET in K7's already-counted
#     subset-element unit -- over budget, AUTO falls back to the VM instead
#     of spending the whole K7 budget on a DFA it may then refuse. A new
#     engine-route input this bench's stamps may show as a VM selection
#     where 334fd10e built a DFA: read RX_ENGINE_SEL / `_WHY` on any such
#     cell before calling it movement.
#   - THREE rows' `override` moved none -> flag, VALUE UNCHANGED, desc
#     extended with the new raise-only per-compile flag: PCREC_MAX_NFA_STATES
#     131072 (`--max-nfa-states`), PCREC_MAX_DFA_STATES_GOTO 10000
#     (`--max-dfa-states-goto`), PCREC_MAX_SUBSET_ELEMS 48000000
#     (`--max-subset-elems`). The bench passes none of them: every pinned
#     config keeps pcrec's defaults, and the 65535 rung's "NFA exceeds
#     131072 states" refusal is UNCHANGED at this pin.
#   - PCREC_MAX_DFA_STATES_TABLE 32000: VALUE and override UNCHANGED, desc
#     re-worded "NOT RAISABLE (N1 survey) -- the emitted table's cell type
#     is a C short".
#
# The rows this bench has already met by name, all UNCHANGED:
# PCREC_MAX_DFA_STATES_TABLE 32000 (the ">32000 states" [SEL-1] overflow),
# PCREC_MAX_SUBSET_ELEMS 48000000 (the K7 subset-elements budget the `\z`
# forms overflow by -- I-22/I-23's distinct `_WHY` route),
# PCREC_ANCHORED_MAX_STATES 4096 (the [ENG-ABS] ceiling, I-20),
# PCREC_MAX_EMIT_BYTES 1000000 / PCREC_MAX_VM_EMIT_CODE_BYTES 500000 (the
# [ART-SIZE] caps every artifact stamps as its effective limits -- and the
# code cap is the wall altwide's `w-512` VM form still meets at this pin,
# where `w-384` now fits under it as an island), PCREC_NFA_MAX_STATES
# 131072 (the "NFA exceeds 131072 states" refusal the 65535 rung meets --
# O-9/I-20, UNCHANGED at this pin: [OPT-EDGE] STEP 1.1 acts after
# construction like STEP 1 did).
#
# WHAT THIS FILE IS FOR: nothing a RECORD carries is read from it (every
# cap and capacity a record needs is STAMPED per artifact); it is the
# table this bench's overflow readings resolve against BY NAME, archived
# so the pin's limit surface is diffable across re-pins, and `make
# check-harness` diffs it against the pin's live output
# (check_list_limits_registry).
#
# ONE thing DOES read it, and only in order to REFUSE ([B31], 2026-09-02):
# the emitted-size cap axis' raise-only check takes PCREC_MAX_EMIT_BYTES
# and PCREC_MAX_VM_EMIT_CODE_BYTES from here, so a config declaring a
# max_emit_bytes below pcrec's own default is an AdapterError naming both
# numbers before anything is measured. Reading them rather than typing
# them is what keeps this repo from holding a second copy of a pcrec
# constant that could fall out of step; the diff above is what stops that
# copy going stale silently.
# pcrec numeric-limits registry (docs/spec/table_contract.md, the
# SIXTH TSV surface; D90/[LIM-1]). One row per numeric limit in
# src/core/limits.def, in the table's own order.
#
# unit: the quantity's dimension, or empty for a dimensionless
# magnitude ceiling.
# kind: "compile budget" (bounds the COMPILER's own analysis or
#   emission; crossing it can refuse a pattern) | "runtime
#   capacity" (bounds the EMITTED MATCHER's own resource use;
#   crossing it is a give-up, never a wrong answer) | "size cap"
#   (bounds emitted artifact bytes) | "selection knee" (a
#   threshold or default that steers a selection mechanism, not a
#   hard ceiling) | "identifier cap" (bounds a name's length or a
#   naming-tied count).
# override: "flag" (a CLI flag or pcrec_options field moves it per
#   compile) | "-D" (only a build-time -D at pcrec's OWN compile
#   moves it) | "none" (fixed).
# anchor: the docs/spec/limits.md section this number is
#   documented in, empty when it is not (limits.md states caller-
#   facing PROMISES, not an internals catalogue — see this file's
#   own header and src/core/limits.def's for the boundary).
#name	value	unit	kind	override	anchor	desc
PCREC_DEFAULT_WARN_EMIT_BYTES	250000	bytes	size cap	-D	8	[OPT-4]: the advisory --warn-emit-bytes default (never refuses, 0 disables) ALSO settable per-compile; -D moves the built-in default
PCREC_MAX_EMIT_BYTES	1000000	bytes	size cap	-D	8	[ART-SIZE]/D84: the whole comment-excluded artifact; --max-emit-bytes ALSO raises it per-compile (raise-only); -D moves the built-in default
PCREC_SIZE_TERM_THRESHOLD	120000	bytes	selection knee	-D		[ART-SIZE]: the emitted-size knee above which the unroll-K size term evaluates the ladder at all
VM_DEFAULT_STEP_BUDGET	500000000	steps	runtime capacity	flag	3.1	D51: default backtrack-resumption budget; --step-budget=N overrides per compile
VM_DEFAULT_WORK_BUDGET	1000000000	work-units	runtime capacity	flag	3.1	D49: default forward-only-work budget, a separate counter from steps; --work-budget=N overrides
VM_DEFAULT_RESUME_FRAMES	2048	frames	runtime capacity	flag	3.2	D73: default resume-stack capacity for the UNBOUNDED-depth class; --backtrack-frames=N overrides
VM_DEFAULT_TRAIL_FRAMES	3072	frames	runtime capacity	flag	3.2	D73: default trail capacity paired with VM_DEFAULT_RESUME_FRAMES
VM_MAX_AUTO_RESUME_FRAMES	2048	frames	runtime capacity	flag	3.2	[M4.6a]: clamp ceiling for the BOUNDED-depth class's exact auto-sizing under --backtrack-frames
VM_MAX_AUTO_TRAIL_FRAMES	3072	frames	runtime capacity	flag	3.2	[M4.6a]: trail's own clamp ceiling, paired with VM_MAX_AUTO_RESUME_FRAMES
VM_ISL_MIN_BRANCHES	2	count	selection knee	none		[ENG-ISL]: fewest literal alternatives an alternation island is built for at all; below it vm_alt's chain emits the alternation
VM_ISL_MIN_BRANCHES_PREFIXED	4	count	selection knee	none		[ENG-ISL]: fewest literal alternatives an island that PUSHES is built for -- one whose alternatives are not prefix-free, so its candidate chain has a second entry and the artifact stays framed
VM_ISL_MAX_WORDS	8192	count	compile budget	none		[ENG-ISL]: most literal words an alternation's subtree may enumerate to before the island declines (the bench's widest altwide rung is 4096)
VM_ISL_MAX_BYTES	262144	bytes	compile budget	none		[ENG-ISL]: total literal bytes across every enumerated word; bounds the cross product of concatenated alternations, which is exponential in principle
VM_ISL_MAX_DEPTH	64	levels	compile budget	none		[ENG-ISL]: alternation NESTING the enumeration may recurse through; a pattern controls this depth, so it is a bound on pcrec's own C stack (D10/R-2)
VM_ISL_BYTES_PER_NODE	180	bytes	selection knee	none		[ENG-ISL]: measured marginal emitted-code bytes per alternation-island trie node, for the island-vs-chain size comparison
VM_ISL_BYTES_PER_CHAIN_NODE	98	bytes	selection knee	none		[ENG-ISL]: measured marginal emitted-code bytes per AST node of the subtree vm_alt's serial chain would emit instead
VM_ISL_SIZE_FACTOR	2	count	selection knee	none		[ENG-ISL]: how many times the chain's estimated emitted size the island may reach before it declines; on the ESTIMATOR the two populations separate at 2.60 against 4.02, and 2 is validated by the random size census (0 refused, max artifact growth 1.03x) rather than argued
VM_INLINE_CHAIN_MAX_BYTES	4096	bytes	selection knee	flag		[CC-DIFF] STEP 2: emitted VM program bytes at or below which the entry chain is inlined into the three _in entries (rung FORWARD); above it one shared out-of-line body (rung SHARED). --vm-entry-shape=N overrides the decision outright
PCREC_PREFIX_K_MAX	24	count	compile budget	none		src/opt/prefix_k.c: how many literal-prefix candidates the offset-skip analysis may carry
PCREC_OFSK_MAX_SET	4	count	compile budget	none		src/opt/prefix_k.c: how many offsets the selected offset-set prefilter candidate may carry
PCREC_MINW_MAX	1099511627776		compile budget	none		src/opt/callgraph.c: the minimum-width analysis' saturation ceiling (== PCREC_W_UNBOUNDED)
PCREC_MAX_SCAN_EDGES	4	count	selection knee	none		[OPT-5]: how many scan edges one DFA machine may carry — src/opt/scanedge.c takes the longest chains first, src/gen/emit_dfa.c sizes its array by it; since [OPT-EDGE] STEP 1 an edge costs NO compare on the emitted loop's generic path (the shared sentinel), so this is an emitted-bytes budget awaiting a measured re-choice
PCREC_MIN_SCAN_CHAIN	2	states	selection knee	none		[OPT-5] precondition (5): the SHORTEST bounded counted-class run src/opt/scanedge.c will collapse into a scan edge (the unbounded self-loop is admitted at any length). MEASURED 2026-09-04 against the STEP 1.1 loop -- studies/scan_edge_ladder/run_floor.sh, 3 runs x 15 rounds, edge vs -fno-scan-edge on the same pattern: at m=2, 3 and 4 the two arms are NOT separated by more than the per-round range on either family, so D77 no-gap-no-move keeps this at 2; the only resolvable separation is m=8 nullable, edge/noedge 0.9855 median [IQR 0.0243]. The edge SIZE win is unconditional and is the standing reason to admit m=2
RC_NUMBER_MAX	1000000		compile budget	none		src/parse/mod_recursion.c: saturation ceiling for a (?N)/(?+N)/(?-N) recursion-call number
BR_NUMBER_MAX	1000000		compile budget	none		src/parse/mod_backrefs.c: saturation ceiling for a \N/\g{N} backreference number
LA_MSG_MAX	256	bytes	identifier cap	none		src/parse/mod_lookaround.c: fixed buffer size for the §2.5/§2.7 lookaround diagnostic text
RXT_CONFIG_NAME_MAX	127	bytes	identifier cap	none	3.5	a .rxt `config` block's own name
RXT_TARGET_PREFIX_MAX	127	bytes	identifier cap	none	3.5	a .rxt `target` block's -p prefix
RXT_TARGET_DEF_MAX	127	bytes	identifier cap	none	3.5	a .rxt `target` block's definition name
RXT_FROM_NEST_MAX	64	levels	compile budget	none	3.5	a .rxt `config ... from` cascade's nesting depth before the head parser refuses
