family	pattern_id	fidelity	canonical_text	text_file	requires	hazard_class	inspiration	twin_of	isolates	notes
cap-backref	phone-palindrome-6	synthesized	(\d)(\d)(\d)\3\2\1	-	backrefs	none	modeled on vanity/palindrome phone-number finder tools -- a documented real service class: businesses market and search listings for memorable palindrome phone numbers	-	-	the family's stated "palindrome shapes" member (capability_set_v1.md §3.1 family 7); realism grounded in vanity-number search tooling rather than a bare puzzle shape
cap-backref	quoted-delim-match	synthesized	(["'])(?:(?!\1)[^\\]|\\.)*\1	-	backrefs	none	modeled on quoted-string tokenizing (matching single- or double-quoted strings where the closing delimiter must equal the opening one), a ubiquitous lexer/tokenizer idiom	-	-	-
cap-backref	dup-param-detect	synthesized	\b(\w+)=[^&]*&(?:[^&]*&)*\1=	-	backrefs	none	modeled on HTTP Parameter Pollution defensive checks (a documented web-security testing/WAF technique: flag a query string that repeats the same key), a real deployed security idiom	-	-	-
cap-lookaround	pwd-strength-chain	synthesized	^(?=.*[a-z])(?=.*[A-Z])(?=.*\d)(?=.*[^\w\s]).{8,}$	-	lookaround	none	the single most widely deployed chained-lookahead idiom on the public web: password-strength validators requiring lowercase, uppercase, digit and symbol	-	-	one of the family's "3 chained-lookaround shapes" (capability_set_v1.md §3.1 family 8)
cap-lookaround	float-literal-bound	synthesized	(?<![\d.])\d+\.\d+(?![\d.])	-	lookaround	none	modeled on standalone-numeric-literal boundary detection in code formatters/linters (a real need: extracting a float literal without also matching inside a longer dotted/versioned token)	-	-	one of the family's "3 chained-lookaround shapes"
cap-lookaround	email-local-nodup	synthesized	^(?!.*\.\.)[A-Za-z0-9.]+(?=@)	-	lookaround	none	modeled on RFC 5321 §4.1.2's prohibition on consecutive dots in an email local-part, a check real email validators implement with a negative lookahead	-	-	one of the family's "3 chained-lookaround shapes"
cap-lookaround	currency-lookbehind-fixed	synthesized	(?<=\$)\d+(?:\.\d{2})?\b	-	lookaround	none	modeled on invoice/financial-text extraction tools that pull a dollar amount only when immediately preceded by the currency symbol, a fixed-width lookbehind (one character) in real deployed use	-	-	the family's stated "one fixed-width... lookbehind" member (capability_set_v1.md §3.1 family 8)
cap-lookaround	negation-scope-lookbehind-var	synthesized	(?<!\bnot\s{1,3}(?:\w{1,12}\s{1,3}){0,3})\bavailable\b	-	lookaround;lookbehind-variable	none	modeled on sentiment/content-moderation tooling that must not flag a word when a short negation phrase ("not ... available") precedes it within a few words -- a documented technique, and a known engine-capability line since it needs a variable-width lookbehind	-	-	the family's stated "one... variable-width lookbehind pair" member (capability_set_v1.md §3.1 family 8); this is the one member in the whole designed set that specifically probes `lookbehind-variable`, the tag python `re` fails (CPython 3.14 docs) beside RE2/Rust/Vectorscan/TRE's blanket lookaround refusal. EVERY quantifier inside the lookbehind is explicitly bounded (\s{1,3}, \w{1,12}) -- verified against real PCRE2 10.46 (pcre2test) that an unbounded \s+ or \w+ anywhere inside a lookbehind, even nested inside an already-bounded {0,3} outer repeat, is refused at compile time (error 125, "length of lookbehind assertion is not limited": man pcre2pattern's "Unlimited repetition... is not supported" line, confirmed the hard way). The bounded window is also the more realistic modeling choice: a real negation-scope check bounds its lookback for the same performance reason
cap-recursion	balanced-parens-rec	synthesized	\((?:[^()]|(?R))*\)	-	recursion	none	modeled on balanced-parenthesis validation in formula/config-expression validators, the best-known real deployed use of PCRE-style whole-pattern recursion (?R)	-	-	the family's stated "balanced-paren... shape" member (capability_set_v1.md §3.1 family 9)
cap-recursion	bracket-array-define	synthesized	-	patterns/bracket-array-define.txt	recursion;free-spacing	none	modeled on the (?(DEFINE)...) named-subroutine idiom used for readability in real, deployed complex validators (bracket/array balance via a named recursive group rather than bare (?R)), a documented production technique	-	-	the family's stated "...DEFINE shapes authored" member (capability_set_v1.md §3.1 family 9); kept multi-line free-spacing per F-Q2, never flattened
cap-recursion	nested-comment-rec	synthesized	(/\*(?:[^*/]|\*(?!/)|/(?!\*)|(?1))*\*/)	-	recursion	none	modeled on nested block-comment matching in languages that permit it (Rust's /* /* */ */ nesting is the clearest real case), a genuine syntax-highlighter/linter need for subroutine-call recursion (?1)	-	-	-
cap-recursion	tag-depth3-bound	synthesized	<(\w+)>(?:[^<]|<(\w+)>(?:[^<]|<(\w+)>[^<]*</\3>)*</\2>)*</\1>	-	-	none	modeled on security-conscious HTML/XML sanitizers that deliberately bound nesting depth (here, 3 levels) explicitly rather than use unbounded (?R)/(?1) recursion, a documented defensive practice against unbounded-recursion DoS/stack exhaustion	-	-	the family's stated "a 3-level nested-group body" member (capability_set_v1.md §3.1 family 9); deliberately carries NO `recursion` REQUIRES tag -- it stresses nesting DEPTH using only plain capturing groups, so every roster engine can run it, isolating nesting depth from the recursion CONSTRUCT itself (which only the (?R)/(?1)/DEFINE members above exercise)
redos-nested	email-nested-plus	synthesized	^([a-zA-Z0-9._%+-]+)+@	-	-	exponential-backtracking	modeled on a documented ReDoS advisory in Kubeflow's email-validation regex, which used exactly this nested-quantifier shape ((charclass+)+@) over the local-part before the @	-	-	-
redos-nested	trim-nested-star	synthesized	^(\s+)*$	-	-	exponential-backtracking	modeled on CVE-2022-25927 (ua-parser-js): a trim()-style trailing-whitespace regex vulnerable to catastrophic backtracking via a redundant nested quantifier over \s	-	-	-
redos-nested	evil-alt-nested	synthesized	^(([a-z]+)*)+$	-	-	exponential-backtracking	the canonical "evil regex" cited throughout the public ReDoS literature (e.g. OWASP's ReDoS material): nested repetition over an inner alternation/group with no distinguishing anchor between iterations	-	-	-
redos-nested	numeric-id-nested-plus	synthesized	^(\d+)+$	-	-	exponential-backtracking	modeled on the numeric-ID validator ReDoS shape catalogued in engn33r/awesome-redos-security (the family's own cited CVE index, capability_set_v1.md §3.1 family 10) -- a nested + over a +-quantified digit class	-	-	-
redos-nested	phone-list-nested-plus	synthesized	^(\d+\s*)+$	-	-	exponential-backtracking	modeled on phone-number/number-list validator ReDoS reports catalogued in the same awesome-redos-security CVE index	-	-	-
redos-nested	date-nested-plus	synthesized	^(([0-9]+[-/])+)+$	-	-	exponential-backtracking	modeled on the date-parsing ReDoS class documented in moment.js's CVE-2017-18214 and CVE-2022-31129 advisories (ambiguous nested optional-group repetition over a delimited numeric token)	-	-	-
semantics-divergence	router-prefix-order	synthesized	/user|/users	-	-	none	modeled on a documented real bug class in hand-rolled URL routers: a route table ordered /user before /users matches the shorter route first under leftmost-first semantics even when the longer route is the intended match on "/users"	-	-	the family's stated designed-member spec, "a\|ab against 'ab' and its family -- the leftmost-first/longest separator named in N2 §2.1" (capability_set_v1.md §3.1 family 11)
semantics-divergence	file-ext-order	synthesized	\.tar|\.tar\.gz	-	-	none	modeled on a documented real bug class in build-tool file-extension matchers: listing .tar before .tar.gz means a leftmost-first engine reports the shorter suffix on "archive.tar.gz"	-	-	same family spec as router-prefix-order; a second member of the "a\|ab... family"
semantics-divergence	keyword-prefix-order	synthesized	in|instanceof	-	-	none	modeled on the classic hand-rolled-lexer keyword/identifier prefix ambiguity (matching the keyword "in" before "instanceof" was a documented real bug class before lexers moved to longest-match tables)	-	-	same family spec as router-prefix-order; a third member of the "a\|ab... family". These three plus L1's imported PCRE2/rust-regex testdata rows are meant to reach family 11's target of 6 -- v1's SCORING is scoped to the shared-convention population only (capability_set_v1.md §5.6, CB1); these three compile everywhere and give a real answer under every engine's OWN convention even before that scoring machinery lands
binary-nonutf8	high-byte-run	synthesized	[\x80-\xff]{2,4}	-	non-utf8-subject	none	modeled on legacy-encoding / mixed-encoding log-cleanup tools that scan raw bytes for runs of non-ASCII high bytes to flag encoding problems	-	-	canonical_text is valid ASCII/UTF-8 (the pattern uses \x escapes, not a literal high byte) -- only the SUBJECT is non-UTF-8, which is this family's actual axis
binary-nonutf8	mojibake-curly-quote	synthesized	OMITTED -- not valid UTF-8, per record_schema.md's KB-7/S10 omission rule (capability_set_v1.md §3.1 family 12)	patterns/mojibake-curly-quote.txt	non-utf8-subject	none	modeled on "fix mojibake" / encoding-repair tools that scan raw legacy-Windows-1252 text for curly-quote byte pairs (0x93 ... 0x94) still present after a bad UTF-8 conversion -- a genuinely real, documented class of encoding-repair utility	-	-	the ONE member whose canonical pattern text is a genuine literal raw byte sequence (0x93 ... 0x94), not an \x escape -- deliberately, to exercise S10's omission rule for real. sha256 of the raw file bytes: f1c1f0702a8212f15fda6903374ec6870567ed35a3206884e70dd4488ae865d6 (patterns/SHA256SUMS.txt). L2 did not write escaped \x93/\x94 here because the point is a pattern file whose BYTES are not decodable as UTF-8 at all, mirroring how a real encoding-repair tool's own regex source file would look if authored in a non-UTF-8-aware editor
binary-nonutf8	utf8-lead-no-cont	synthesized	[\xc2-\xdf](?![\x80-\xbf])	-	non-utf8-subject	none	modeled on UTF-8 validators/sanitizers that flag a two-byte lead byte (0xC2-0xDF) not followed by a valid continuation byte -- a real, common malformed-UTF-8 detector shape	-	-	canonical_text is valid ASCII/UTF-8 (escapes, not a literal byte); pairs conceptually with high-byte-run and mojibake-curly-quote as the family's three designed members
floor	floor-byte	synthesized	~	-	-	none	requirements.md §5's per-call floor-pattern control, in bench/syntax's own idiom (that set uses `#`); this set's subject vocabulary skews log-line/HTTP/source-code/prose (captext.py, per capability_set_v1.md §3.4), where a bare tilde is rare	-	-	PROPOSED ONLY, not calibrated: §3.3 states the exact byte is "the authoring lane's, chosen so the floor is a full-length MISS on every throughput run and a hit on 1-2 short subjects" -- that calibration depends on captext.py's actual generated text, which is L3's to build. L3 must confirm '~' against the real subject corpus (or pick a different byte) before this is committed as the set's floor pattern
